Item Code,Product Name,Department Name,Category Name,Bills,Bill Penetration %,Quantity,Adjusted Quantity (for sachets),Revenue (₹),Avg Selling Price (₹),Avg Cost (₹),Avg Margin % (on selling),Avg MRP (₹)
8901042970493,MTR Puligore Powder 27g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,50,0.22,81,81,810,10,8.75,12.5,10
8901774001632,Badshah Chicken Masala 50g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,49,0.22,52,52,2298,44.14,40.58,8.08,48
8906010366889,GRB Ghee 100ml,"Oil, Sugar & Masalas",Oil & Ghee,49,0.22,52,52,5102,98.12,92.57,5.66,103.37
PACS0636,Lavangalu 50g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,47,0.21,52,52,2600,50,39.53,20.94,55.64
PACS0940,Lalitha Sonti 10g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,46,0.21,51,51,510,10,6.8,32,15
8901242228202,Bambino Chiken Masala,"Oil, Sugar & Masalas",Masala Spices & Ingredients,45,0.2,45,45,1260,28,22,21.43,38
8901774001625,Badshah Motton Masala 50g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,44,0.2,49,49,2196,44.86,41.5,7.54,48.91
8906042370236,Matha Coriander Powder 100g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,44,0.2,50,50,950,19,13,31.58,35
PACS0706,Biryani Leaf 10g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,44,0.2,52,52,208,4,1.2,70,9.82
8906010360054,Grb Ghee Bottle 50ml,"Oil, Sugar & Masalas",Oil & Ghee,44,0.2,44,44,2294,52.14,38.41,26.38,55.34
8906021123129,Aachi Turmeric Powder 100g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,43,0.19,49,49,1225,25,20,20,42
PACS0245,Napthalene Balls,Home Care,Air & Car Fresheners,41,0.18,46,46,1196,26,22.8,12.31,40
PACS1445,Kobbera Powder 100g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,41,0.18,46,46,2176,47.46,27.9,40,75.49
PACS0544,Dried Karjuram 50g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,41,0.18,54,54,1080,20,13.29,33.53,30
8901287308211,Mysore Sandal Baby Powder 100g,Personal Care,Bar Soap,40,0.18,41,41,1845,45,41.66,7.41,50
PACS0942,Vicks Babyrub 10ml,Health & OTC,Balms & Sprays,39,0.17,41,41,1968,48,43.98,8.37,55
PACS1324,Chia Seeds 50g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,39,0.17,67,67,737,11,9.05,18.18,24.51
PACS0038,Dried Coconut 500g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,38,0.17,39,39,7410,190,62.96,66.87,209.74
PACS0542,Red Chilli Powder 250g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,37,0.17,46,46,2208,48,40,16.67,75
8901440201052,Eastern Chicken Masala 50g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,37,0.17,39,39,1287,33,28,15.15,47
PACS0464,Sonti 10g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,37,0.17,62,62,620,10,6,40,15.51
4987176332592,Gillette Guard Shaves Razor,Personal Care,Shaving Needs,38,0.17,40,40,1000,25,21.52,13.92,28
PACS0276,Shah Jeera 20g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,36,0.16,38,38,722,19,17,10.53,25
PACS0875,Okkalu 20g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,36,0.16,37,37,666,18,14.04,22,26.01
PACS1356,Red Chilli Powder 1kg,"Oil, Sugar & Masalas",Masala Spices & Ingredients,35,0.16,38,38,6840,180,160,11.11,192.91
PACS1587,Nitya Pooja Oil 900ml,"Oil, Sugar & Masalas",Oil & Ghee,36,0.16,37,37,5212,140.61,124.94,10.85,179.19
8901012166635,Stayfree Secure Cottony Soft Sanitary Napkin 6N,Personal Care,Sanitary Needs,35,0.16,66,66,2532,38.43,35.54,7.47,43.29
8901242509301,Bambino Gulab Jamun 120g,Packaged Foods & Dry Fruits,Indian Sweets,32,0.14,36,36,1296,36,34,5.56,40
PACS1456,Swami Rangoli 1kg,Restaurant Supplies & Houseware,Houseware,32,0.14,33,33,462,14,10,28.57,20
PACS1586,Milton Gas Lighter,Restaurant Supplies & Houseware,Kitchen & Tableware,26,0.12,27,27,2970,110,96.66,12.13,290
8901242103509,Bambino Soya Mini Chunks 220g,Packaged Foods & Dry Fruits,"Namkeen, Chips & Savory",22,0.1,30,30,1500,50,45,10,60
PACS1731,Dairy Small Cone Vanilla 50ml,"Dairy, Fresh & Frozen",Dairy,17,0.08,20,20,220,11,8,27.27,12
PACS1164,ClassPlus Long Note Books,Stationery,Books & Notebooks,19,0.08,41,41,615,15,15,0,30
8906086207185,Hugs Push Up The Cone Choco,Personal Care,Baby Care,16,0.07,22,22,110,5,3.41,31.8,5
9666297973,Subha Deepam Pooja Oil 1L,Home Care,Other Pooja Needs,13,0.06,14,14,1825,130.38,122.15,6.3,160
8901399006180,Santoor Beauty Talc Powder 150g,Personal Care,Powder Soap,8,0.04,8,8,760,95,89,6.32,99
PACS0620,Bath Scrubber Big,Home Care,Bath Needs,7,0.03,7,7,231,33,28,15.15,40
8906114800715,Spicelite Resq Mosquito Killer Racket Bat,Home Care,Lighting,6,0.03,6,6,2970,495,455.4,8.01,599
8903754000994,Tata Coconut Water 200ml,Beverages,Fruit Drinks,5,0.02,6,6,249,41.8,41,3.09,50
8906008200256,Tender Flow Premium Smooth Nipple,Personal Care,Baby Needs,4,0.02,6,6,90,15,13.59,9.4,20
8906717700284,Maha Natraj Saffron,Beverages,Brown & Health Drinks,2,0.01,2,2,240,120,100,16.67,350
PACS0703,Jain Brother Multipurpose Oil,Home Care,Machine,3,0.01,3,3,45,15,7,53.33,20
8908001158022,White Tone Face Powder 70g,Personal Care,Facial Wipes,2,0.01,2,2,220,110,104,5.45,115
PACS0618,Gift Cover Bhary,Home Care,Friendly Care,1,0,7,7,56,8,6,25,10
